"Latitude","Longitude","NJ16_eq_1","NJ16_eq_2","NJ16_eq_3","NJ17_eq_1","NJ17_eq_3","NJ17_eq_4","NJ17_eq_6","NJ17_eq_7","NJ17_eq_4i","NJ17_eq_8","NJ17_eq_9","NN_Jilisht","NBROI_LICA","Ignore Elevation Lat","Ignore Elevation Long","MeanElev"
23.292793400000001,42.628386900000002,"GS 84,"1","1","1","PSG,"1","0","0","1","NIT,"","1","2",42.629199400098003,23.287857142857000,977.000000000000000
23.294435300000000,42.629776200000002,"901,"1","PSG,"","901,"0","0","1","1","1","1","1","3",42.629199400098003,23.287857142857000,977.000000000000000
23.293824200000000,42.629297999999999,"","1","1",","","0","0","1","1","901,","1","3",42.629199400098003,23.287857142857000,977.000000000000000
23.292759000000000,42.629798299999997,"901,","1","","1","0","0","1","1","1","901,"1","3",42.629199400098003,23.287857142857000,977.000000000000000
23.291984299999999,42.630621300000001,"3","1","1",","1","1","0","0","1","0","","1","1",42.629199400098003,23.287857142857000,977.000000000000000
23.293227300000002,42.630419000000003,","1","","1","1","0","0","1","1","0","1","1","6",42.629199400098003,23.287857142857000,977.000000000000000
23.292677399999999,42.629261600000000,"1","1","6","0","","1","0","0","1","","1","1","2",42.629199400098003,23.287857142857000,977.000000000000000
23.292588500000001,42.630906000000003,"1","1","","1",","0","0","1","1","0","","1","3",42.629199400098003,23.287857142857000,977.000000000000000
23.290488322945698,42.630260380172103,"1","1","2","0",","0","0","1","1","0","1","1","1",42.629199400098003,23.287857142857000,977.000000000000000
23.294594100000001,42.632054400000001,"1","2",","2","","0","0","1","1","1","2","2","4",42.629199400098003,23.287857142857000,977.000000000000000
23.294326797859000,42.631490318365600,"2","1",",","1","0","0","1","1",","0","1","1",42.629199400098003,23.287857142857000,977.000000000000000
23.292134718762799,42.633439280266302,","1",","","1","0","0","1","1","1","1","1","6",42.629199400098003,23.287857142857000,977.000000000000000
23.317911009170800,42.624188156941500,","","1",",","0","0","1","1",",","1","2",42.619999999999997,23.315000000000001,822.000000000000000
23.318651336639199,42.620006565157297,","1","1",",","0","0","1","1","0","","1","3",42.619999999999997,23.315000000000001,822.000000000000000
23.318698060917601,42.623553679312202,"myñA,"1","1","1","","0","1","0","1",","1","2","1",42.619999999999997,23.315000000000001,822.000000000000000
23.315045538877499,42.623153857143400,"1","1","1","","","0","1","0","1","1","","1","4",42.619999999999997,23.315000000000001,822.000000000000000
23.318179900000001,42.620241700000001,"4","1","",","1","0","0","1","1","1",","1","1",42.619999999999997,23.315000000000001,822.000000000000000
23.315703955124100,42.623697896382900,","1","1","1","","1","0","0","1",","1","1","5",42.619999999999997,23.315000000000001,822.000000000000000
23.318916099999999,42.620580099999998,"1","1","1","1","1","0","0","1","1","5","","1","2",42.619999999999997,23.315000000000001,822.000000000000000
23.318916099999999,42.620580099999998,"","1",","","0","0","0","1","1","0","","1","4",42.619999999999997,23.315000000000001,822.000000000000000
23.313575499999999,42.620725600000000,"0",","1","1","1","0","1","0","1","1","1","1","1",42.619999999999997,23.315000000000001,822.000000000000000
23.312818100000001,42.624459000000002,"1","1","1","1","1","0","0","2","2","","","2","8",42.619999999999997,23.315000000000001,822.000000000000000
23.317579100000000,42.622089299999999,"","1","","2",","1","0","0","1","1","2","1","5",42.619999999999997,23.315000000000001,822.000000000000000
23.312818100000001,42.624459000000002,","2","3","",","0","1","0","1","1","2","3","3",42.619999999999997,23.315000000000001,822.000000000000000
23.313986100000001,42.620099699999997,","","1",","0","0","0","1","1","2","1","1","4",42.619999999999997,23.315000000000001,822.000000000000000
23.309200600000000,42.622855899999998,","","1","5","","0","0","1","1","","1","1","5",42.619999999999997,23.315000000000001,822.000000000000000
23.315092521290900,42.623316172178797,"","0","1","1","1","0","0","1","1","1","","1","3",42.619999999999997,23.315000000000001,822.000000000000000
23.314881400000001,42.624102299999997,"3","1","1",",","0","1","0","1","1","","1","3",42.619999999999997,23.315000000000001,822.000000000000000
23.314399800000000,42.622328600000003,","1","1","1","1","0","0","1","1","1","","1","1",42.619999999999997,23.315000000000001,822.000000000000000
23.313772199999999,42.623910400000000,","0","3",","","0","0","3","3","3","3","3","9",42.619999999999997,23.315000000000001,822.000000000000000
23.313809500000001,42.623778199999997,"3","1","1","","3","0","1","0","1","1",","1","3",42.619999999999997,23.315000000000001,822.000000000000000
23.313186399999999,42.624218200000001,","1","1","1","1","0","0","1","1","0",","1","3",42.619999999999997,23.315000000000001,822.000000000000000
23.318482899999999,42.623792399999999,","1",","","","0","0","1","1","","","1","3",42.619999999999997,23.315000000000001,822.000000000000000
23.314881400000001,42.624102299999997,"3","1",","1","0","1","0","0","1","1","1","1","2",42.619999999999997,23.315000000000001,822.000000000000000
23.319266800000001,42.622834900000001,","","1","","0","0","1","0","1","1","","1","1",42.619999999999997,23.315000000000001,822.000000000000000
23.318177700000000,42.624280800000001,"1","1","1",","","0","1","1","2","","0","2","10",42.619999999999997,23.315000000000001,822.000000000000000
23.318177700000000,42.624280800000001,"1",","1",","1","0","0","1","1","0","","2","7",42.619999999999997,23.315000000000001,822.000000000000000
23.316967000000002,42.624188500000002,"",","1",",","0","0","1","1","1","1","1","2",42.619999999999997,23.315000000000001,822.000000000000000
23.318482899999999,42.623792399999999,"1","1","1",",","0","0","1","1",",","2","6",42.619999999999997,23.315000000000001,822.000000000000000
23.319029199999999,42.622877500000001,","","1","","1","0","1","0","1","0","","1","6",42.619999999999997,23.315000000000001,822.000000000000000
23.319473700000000,42.622950699999997,","1",",","1","0","1","0","1","1","0","1","4",42.619999999999997,23.315000000000001,822.000000000000000
23.309616299999998,42.622873200000001,"1","1",","1","0","0","1","0","1","1","0","1","1",42.619999999999997,23.315000000000001,822.000000000000000
23.309616299999998,42.622873200000001,","2","1","","","0","2","0","2","","","2","4",42.619999999999997,23.315000000000001,822.000000000000000
23.312997400000000,42.621236199999998,"4","4","1","","4","0","0","1","1","0","0","1","2",42.619999999999997,23.315000000000001,822.000000000000000
23.320703300000002,42.620211699999999,"1","1","2","1","1","0","0","1","1","1","1","1","4",42.619999999999997,23.315000000000001,822.000000000000000
23.309083300000001,42.623450900000002,",","1","1","","0","0","1","1","1","1","1","3",42.619999999999997,23.315000000000001,822.000000000000000
23.318648325011100,42.623643409603702,"","1","1","1",","0","0","1","1","1","0","1","4",42.619999999999997,23.315000000000001,822.000000000000000
23.308669519593298,42.623232652917800,"0","1","0","","1","0","0","1","1",","0","1","5",42.619999999999997,23.315000000000001,822.000000000000000
23.313140476278999,42.624582806183000,",","1","","","0","0","1","1","1","1","1","3",42.619999999999997,23.315000000000001,822.000000000000000
