id,start date,type,district,locality,address,Filter the word Street,Latitude,Longitude,Validate Geolocation,Ignore_Lat,Ignore_Lon,AvgElev
"118",04.2.2016,non-residential,MLADOST,ALEKSANDAR MALINOV,street D-R ATANAS MOSKOV 20,street,42.628962,23.375083,Pass,42.629199400098003,23.369285714286001,633.000000000000000
"122",05.2.2016,non-residential,MLADOST,MLADOST 4,street BIZNES PARK SOFIYA 5,street,42.62728,23.3751966,Pass,42.629199400098003,23.369285714286001,633.000000000000000
"108",20.1.2016,non-residential,VITOSHA,NATSIONALEN KINOTSENTAR,,,42.6344297,23.2998331,Pass,42.638398800196001,23.301428571429000,737.000000000000000
"224",13.5.2016,non-residential,VITOSHA,NATSIONALEN KINOTSENTAR,,,42.6344297,23.2998331,Pass,42.638398800196001,23.301428571429000,737.000000000000000
"117",04.2.2016,big housing,MLADOST,MLADOST 3,,,42.638511,23.3841136,Pass,42.638398800196001,23.382857142856999,610.000000000000000
"301",11.7.2016,infrastructure,MLADOST,MLADOST 3,,,42.638511,23.3841136,Pass,42.638398800196001,23.382857142856999,610.000000000000000
"309",14.7.2016,non-residential,MLADOST,MLADOST 3,,,42.638511,23.3841136,Pass,42.638398800196001,23.382857142856999,610.000000000000000
"339",01.8.2016,small housing,MLADOST,MLADOST 3,,,42.638511,23.3841136,Pass,42.638398800196001,23.382857142856999,610.000000000000000
"443",30.9.2016,small housing,MLADOST,MLADOST 3,,,42.638511,23.3841136,Pass,42.638398800196001,23.382857142856999,610.000000000000000
"102",11.1.2016,non-residential,MLADOST,MLADOST 2,,,42.6418504,23.3681765,Pass,42.638398800196001,23.369285714286001,635.000000000000000
"107",20.1.2016,non-residential,MLADOST,MLADOST 2,,,42.6418504,23.3681765,Pass,42.638398800196001,23.369285714286001,635.000000000000000
"165",30.3.2016,big housing,MLADOST,MLADOST 2,,,42.6418504,23.3681765,Pass,42.638398800196001,23.369285714286001,635.000000000000000
"182",18.4.2016,big housing,MLADOST,MLADOST 2,,,42.6418504,23.3681765,Pass,42.638398800196001,23.369285714286001,635.000000000000000
"203",27.4.2016,non-residential,MLADOST,MLADOST 2,,,42.6418504,23.3681765,Pass,42.638398800196001,23.369285714286001,635.000000000000000
"266",14.6.2016,big housing,MLADOST,MLADOST 2,,,42.6418504,23.3681765,Pass,42.638398800196001,23.369285714286001,635.000000000000000
"291",30.6.2016,big housing,MLADOST,ALEKSANDAR MALINOV,,,42.6405258,23.3730321,Pass,42.638398800196001,23.369285714286001,635.000000000000000
"307",14.7.2016,big housing,MLADOST,MLADOST 1A,street ALEKSANDAR MALINOV,street,42.6405258,23.3730321,Pass,42.638398800196001,23.369285714286001,635.000000000000000
"442",30.9.2016,small housing,MLADOST,ALEKSANDAR MALINOV,,,42.6405258,23.3730321,Pass,42.638398800196001,23.369285714286001,635.000000000000000
"248",01.6.2016,small housing,VITOSHA,KILIITE,,,42.6498159,23.2388913,Pass,42.647598200293999,23.233571428571000,831.000000000000000
"159",22.3.2016,big housing,VITOSHA,BOYANA,,,42.64674,23.2804153,Pass,42.647598200293999,23.274285714285998,719.000000000000000
"169",06.4.2016,big housing,VITOSHA,BOYANA,,,42.64674,23.2804153,Pass,42.647598200293999,23.274285714285998,719.000000000000000
"240",25.5.2016,small housing,VITOSHA,BOYANA,,,42.64674,23.2804153,Pass,42.647598200293999,23.274285714285998,719.000000000000000
"328",25.7.2016,small housing,VITOSHA,BOYANA,,,42.64674,23.2804153,Pass,42.647598200293999,23.274285714285998,719.000000000000000
"407",09.9.2016,big housing,VITOSHA,BOYANA,,,42.64674,23.2804153,Pass,42.647598200293999,23.274285714285998,719.000000000000000
"462",12.10.2016,small housing,VITOSHA,BOYANA,,,42.64674,23.2804153,Pass,42.647598200293999,23.274285714285998,719.000000000000000
"128",18.2.2016,big housing,TRIADITSA,KRASTOVA VADA,,,42.6494732,23.3110698,Pass,42.647598200293999,23.315000000000001,634.000000000000000
"134",02.3.2016,big housing,TRIADITSA,KRASTOVA VADA,,,42.6494732,23.3110698,Pass,42.647598200293999,23.315000000000001,634.000000000000000
"136",02.3.2016,infrastructure,TRIADITSA,KRASTOVA VADA,,,42.6494732,23.3110698,Pass,42.647598200293999,23.315000000000001,634.000000000000000
"160",23.3.2016,non-residential,TRIADITSA,KRASTOVA VADA,,,42.6494732,23.3110698,Pass,42.647598200293999,23.315000000000001,634.000000000000000
