X,Y,NJ16_eq_1,NJ16_eq_2,NJ16_eq_3,NJ17_eq_1,NJ17_eq_3,NJ17_eq_4,NJ17_eq_6,NJ17_eq_7,NJ17_eq_4i,NJ17_eq_8,NJ17_eq_9,NN_Jilisht,NBROI_LICA
23.3839782,42.6931802,,,1,,,0,1,0,1,,,1,4
23.3839782,42.6931802,,,1,,,0,1,0,1,,,1,2
23.3821195,42.6939119,,1,,,,0,1,0,1,,,1,4
23.3766023283254,42.6782823007318,,,1,,,0,0,1,1,,,1,4
23.3839782,42.6931802,,,1,,,0,1,0,1,,,1,1
23.2323379467118,42.6788933226025,,1,,,,0,0,1,1,,,1,2
23.3836296,42.6934312,,,1,,,0,1,0,1,,,1,12
23.3820675,42.6945902,,,1,,,0,1,0,1,,,1,3
23.3820046,42.6943974,,,1,,,0,1,0,1,,,1,4
23.3820046,42.6943974,,,1,,,0,1,0,1,,,1,4
23.3820675,42.6945902,,,1,,,0,1,0,1,,,1,2
23.3820046,42.6943974,,,1,,,0,1,0,1,,,1,3
23.3820675,42.6945902,,,1,,,0,1,0,1,,,1,2
23.3820675,42.6945902,,,1,,,0,1,0,1,,,1,2
23.3820675,42.6945902,,,1,,,0,1,0,1,,,1,1
23.3059784648059,42.7053781357195,,,1,,,0,0,1,1,,,1,1
23.3820046,42.6943974,,,1,,,0,1,0,1,,,1,5
23.3127262241883,42.6966868069975,,,2,,,0,1,0,1,,1,2,4
23.3817986,42.6944614,,,1,,,0,1,0,1,,,1,3
23.3817986,42.6944614,,,4,,1,0,3,0,3,,,4,9
23.3793394795273,42.70732863438,,,1,,,0,0,1,1,,,1,2
23.3820046,42.6943974,,,3,,,0,3,0,3,,,3,10
23.3820046,42.6943974,,,2,,,0,2,0,2,,,2,8
23.3528681037307,42.68932246955,9,,,7,,0,1,0,1,,1,9,23
23.3820046,42.6943974,,,1,,,0,1,0,1,,,1,1
23.1822879392815,42.7080650351066,,1,,,,0,1,0,1,,,1,3
23.3820046,42.6943974,,,3,,,0,3,0,3,,,3,10
23.3846262,42.693131,,,1,,,0,1,0,1,,,1,2
23.3851467,42.6935569,,1,,,,0,1,0,1,,,1,5
23.3851467,42.6935569,,1,,,,0,1,0,1,,,1,3
23.3489129282425,42.6871306162524,8,,1,6,1,0,0,1,1,,1,9,15
23.3817396,42.6948151,,,1,,,0,1,0,1,,,1,3
23.385521,42.6934359,,,2,,,0,2,0,2,,,2,8
23.385521,42.6934359,,,2,,,0,2,0,2,,,2,10
23.3846262,42.693131,,,1,,,0,1,0,1,,,1,2
23.4354075174043,42.6783434924337,,1,,,,0,0,1,1,,,1,4
23.3819085,42.6948508,,,1,,,0,1,0,1,,,1,3
23.3815819,42.6948422,,,3,,,0,3,0,3,,,3,12
23.3815819,42.6948422,,,1,,,0,1,0,1,,,1,5
23.3817396,42.6948151,,,1,,,0,1,0,1,,,1,2
23.3820675,42.6945902,,,1,,,0,1,0,1,,,1,1
23.3447912968262,42.6903658952938,,2,1,,1,0,0,1,1,,1,3,11
23.3817396,42.6948151,,,1,,,0,1,0,1,,,1,1
23.3817396,42.6948151,,,1,,,0,1,0,1,,,1,4
23.3819085,42.6948508,,,3,,,0,3,0,3,,,3,7
23.3835202,42.694043,,,2,,,0,1,1,2,,,2,4
23.3851486,42.6928319,,,1,,,0,1,0,1,,,1,2
23.3851486,42.6928319,,,1,,,0,1,0,1,,,1,3
23.3833736,42.6940783,,,2,,,0,1,1,2,,,2,4
23.3848767,42.6932983,,,1,,,0,1,0,1,,,1,1
23.3301658697437,42.7012189079893,,5,5,,5,0,1,1,2,1,2,10,20
23.3833736,42.6940783,,,3,,,0,3,0,3,,,3,11
23.3856246,42.6928255,,,1,,,0,1,0,1,,,1,4
23.3856246,42.6928255,,,1,,,0,1,0,1,,,1,2
23.3241798682966,42.6904624295485,7,,1,4,,0,0,3,3,,1,8,15
